Title	Tags	Link
By Adelaide Co. (@selen381REAL on Twitter)	GDX	/Art/Untitled946_20250911035323.jpg
By Adelaide Co. (@selen381REAL on Twitter)	Candle Goat,Candle Deer	/Art/Untitled1242_20260130012733.jpg
candle cat if they were idrinkrainwater_ By IDRINKRAINWATER_	Candle Cat	/Art/hh54h45h45h45.jpg
By Seafoam_Fuyuni	GDX	https://cdn.discordapp.com/attachments/824318200903893032/1500404193893159013/burgerkingvince.png?ex=6a88ac0b&is=6a875a8b&hm=8c43ef631ce76eb14055235441f878ba40cad2ad8d9afd2023afb877a8eec0a1&
Benny and Deerthy deer activities By Adelaide Co. (@selen381REAL on Twitter)	Candle Deer,OC	/Art/Untitled1514_20260422032332.jpg
By Adelaide Co. (@selen381REAL on Twitter)	Julie,OC	https://pbs.twimg.com/media/HIzk7VfW0AAvgIw?format=jpg&name=4096x4096
By SNESTheSuperSter	GDX	/Art/me happy.png
By Cheesebester44 (@EPIC636056 on Twitter)	GDX	https://pbs.twimg.com/media/HMjDy1kbgAAaOOK?format=jpg&name=large
By Adelaide Co. (@selen381REAL on Twitter)	Candle Goat,Candle Deer,Candle Cat,Melvin	https://cdn.discordapp.com/attachments/1363580640477319360/1535198070852161546/Untitled1891_20260807040844.jpg?ex=6a88b05e&is=6a875ede&hm=c5804377c37907fb30f215dcb88f7d2fce876f76a73ef3bd1992a00ca7609510&
